ACER,,
"Windows 11 Home x 64 bits, preinstalado
 Peso 1.86Kg, Integrated Widescreen HD (720p) Webcam",,
"DELL INSPIRON (i3535-A813BLK) 15,6"" FULL HD TOUCHSCREEN LAPTOP BLACK (Pad Numerico)",USD 1.020,STK
"Processor: AMD Ryzen 7 7730U (8-Core), Memory: 16GB DDR4 3200MHz RAM, Storage: 512GB M.2 PCIe NVMe Solid State Drive , Video Card: Integrated AMD Radeon™ Graphics, Display: 15.6"" Touchscreen WVA LED-Backlit FHD (1920x1080) 60Hz Display, Realtek Wi-Fi 5 + and Bluetooth 5.0",,
"Windows 11 Home x 64 bits, preinstalado
 Peso 1.86Kg, Integrated Widescreen HD (720p) Webcam",,
"DELL (DC15250-7292BLK) 15.6"" FULL HD TOUCHSCREEN LAPTOP CARBON BLACK (Pad Numerico)",USD 1.200,STK
"Processor: 1.3 gigahertz 13th Intel Generation Core i7 1355U up 3.4 gigahertz (10-core), Memory: 16GB DDR4 2666MHz RAM, Storage: 512GB M.2 PCIe NVMe Solid State Drive , Video Card: Intel UHD Graphics Integrated, Display: 15.6"" Full HD (1920 x 1080) Touch Screen Refresh Rate: 60Hz Anti-glare, Brightness: 220 nits",,
"Windows 11 Home in S Mode x 64 bits, preinstalado
 Peso 1.86Kg, Integrated Widescreen HD (720p) Webcam",,
"DELL (LDC16251-7247SLV) 16"" TOUCHSCREEN LAPTOP SILVER (Pad Numérico)",USD 1.400,STK
"Processor: Intel(R) Core(TM) 7 150U (10 cores, up to 5.4 GHz), Memory: 32GB DDR5 5200MT/s RAM, Storage: 1TB M.2 PCIe NVMe Solid State Drive, Video Card: Intel Graphics, Display: 16.0"" FHD+ (1920x1200) Touchscreen 300nits WVA/IPS Display with ComfortView, Realtek Wi-Fi 6E RTL8852CE, 2x2, 802.11ax, MU-MIMO, Bluetooth(R) wireless card",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 1.49Kg, Integrated FHD (1080p) Webcam Dual Digital Mic Array with Temporal Noise Reduction enabled",,
"DELL 16 (LDC16255-A063BLK) 16"" FHD+ TOUCHSCREEN LAPTOP BLACK (Pad Numerico)",USD 1.400,STK
"Processor: AMD Ryzen™ 7 250 Processor (8 cores) up to 5.1Ghz, Memory: 32GB DDR5 5600Mhz RAM, Storage: 2TB M.2 PCIe NVMe Solid State Drive, Video Card: AMD Radeon Graphics, Display: 16"" FHD+ (1920x1200) Touch 300nits WVA/IPS Display with ComfortView, Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, Bluetooth® Wireless Card",,
"Microsoft® Windows 11 Home (64-bit), preinstalado
 Peso 2.02Kg, FHD Webcam (1920 x 1080) Inbuilt Microphone",,
